"","lon","lat","address"
"326",6.3338839,46.4575386,"chemin du martinet 10, 1180 rolle, switzerland"
"327",NA,NA,NA
"328",6.3335432,46.4578401,"chemin du martinet 14, 1180 rolle, switzerland"
"329",6.33349,46.4579039,"chemin du martinet 16, 1180 rolle, switzerland"
"330",NA,NA,NA
"331",NA,NA,NA
"332",NA,NA,NA
"333",NA,NA,NA
"334",NA,NA,NA
"335",6.3335656,46.457518,"chemin du martinet, 1180 rolle, switzerland"
"336",NA,NA,NA
"337",NA,NA,NA
"338",NA,NA,NA
"339",NA,NA,NA
"340",NA,NA,NA
"341",6.3308204,46.4532983,"chemin du maupas 3, 1180 rolle, switzerland"
"342",6.3315895,46.4532428,"chemin du maupas 4, 1180 rolle, switzerland"
"343",6.3306279,46.4531615,"chemin du maupas 5, 1180 rolle, switzerland"
"344",6.3305727,46.4533139,"chemin du maupas 5b, 1180 rolle, switzerland"
"345",NA,NA,NA
"346",NA,NA,NA
"347",6.3309586,46.4535426,"chemin du maupas 8, 1180 rolle, switzerland"
"348",6.3300811,46.4538039,"chemin du maupas 9, 1180 rolle, switzerland"
"349",6.3418125,46.4619969,"chemin du pré-du-gaud 2, 1180 rolle, switzerland"
"350",6.3416133,46.4623184,"chemin du pré-du-gaud 4, 1180 rolle, switzerland"
"351",NA,NA,NA
"352",6.3356737,46.4564013,"chemin du rosey 1, 1180 rolle, switzerland"
"353",NA,NA,NA
"354",6.3317758,46.4570569,"chemin du rosey 11, 1180 rolle, switzerland"
"355",6.3316022,46.4570755,"chemin du rosey 13, 1180 rolle, switzerland"
"356",6.3313082,46.4572004,"chemin du rosey 15, 1180 rolle, switzerland"
"357",6.3312154,46.4572381,"chemin du rosey 17, 1180 rolle, switzerland"
"358",6.3351152,46.4566644,"chemin du rosey 2, 1180 rolle, switzerland"
"359",6.3354114,46.4564061,"chemin du rosey 3, 1180 rolle, switzerland"
"360",6.3333519,46.4568137,"chemin du rosey 4, 1180 rolle, switzerland"
"361",6.3350588,46.4563468,"chemin du rosey 5, 1180 rolle, switzerland"
"362",NA,NA,NA
"363",6.3348756,46.456335,"chemin du rosey 7, 1180 rolle, switzerland"
"364",6.3326139,46.4570482,"chemin du rosey 8, 1180 rolle, switzerland"
"365",6.3320064,46.4569233,"chemin du rosey 9, 1180 rolle, switzerland"
"366",6.3336288,46.4566332,"chemin du rosey, 1180 rolle, switzerland"
"367",6.3336288,46.4566332,"chemin du rosey, 1180 rolle, switzerland"
"368",6.3348613,46.4594014,"chemin jacques-dalcroze 1, 1180 rolle, switzerland"
"369",6.335869,46.4604188,"chemin jacques-dalcroze 11, 1180 rolle, switzerland"
"370",6.3358286,46.460437,"chemin jacques-dalcroze 15, 1180 rolle, switzerland"
"371",6.3353592,46.4592443,"chemin jacques-dalcroze 2, 1180 rolle, switzerland"
"372",6.3291453,46.4594462,"1180 tartegnin, switzerland"
"373",6.3356004,46.4595435,"chemin jacques-dalcroze 4, 1180 rolle, switzerland"
"374",6.3352433,46.4598189,"chemin jacques-dalcroze 5, 1180 rolle, switzerland"
"375",6.3291453,46.4594462,"1180 tartegnin, switzerland"
"376",6.3354472,46.4600368,"chemin jacques-dalcroze 7, 1180 rolle, switzerland"
"377",NA,NA,NA
"378",NA,NA,NA
"379",6.3291453,46.4594462,"1180 tartegnin, switzerland"
"380",6.3387869,46.4620418,"chemin du général bouquet 1, 1180 rolle, switzerland"
"381",NA,NA,NA
"382",6.338246,46.461823,"chemin du général bouquet 5, 1180 rolle, switzerland"
"383",6.3376521,46.4623614,"chemin j.-j. porchat 1, 1180 rolle, switzerland"
"384",NA,NA,NA
"385",NA,NA,NA
"386",NA,NA,NA
"387",NA,NA,NA
"388",NA,NA,NA
"389",NA,NA,NA
"390",NA,NA,NA
"391",NA,NA,NA
"392",NA,NA,NA
"393",NA,NA,NA
"394",NA,NA,NA
"395",NA,NA,NA
"396",NA,NA,NA
"397",NA,NA,NA
"398",NA,NA,NA
"399",NA,NA,NA
"400",6.3354494,46.4605677,"chemin veyrassat 12, 1180 rolle, switzerland"
"401",6.3344809,46.4595416,"chemin veyrassat 2, 1180 rolle, switzerland"
"402",6.3341744,46.4598895,"chemin veyrassat 3, 1180 rolle, switzerland"
"403",6.3346326,46.4597643,"chemin veyrassat 4, 1180 rolle, switzerland"
"404",6.3343918,46.4600805,"chemin veyrassat 5, 1180 rolle, switzerland"
"405",6.3349419,46.459915,"chemin veyrassat 6, 1180 rolle, switzerland"
"406",NA,NA,NA
"407",6.3351203,46.4601056,"chemin veyrassat 8, 1180 rolle, switzerland"
"408",6.334838,46.4605437,"chemin veyrassat 9, 1180 rolle, switzerland"
"409",6.3413783,46.4585794,"grand-rue 1, 1180 rolle, switzerland"
"410",6.3409992,46.4603539,"grand-rue 10, 1180 rolle, switzerland"
"411",6.336638,46.4565398,"grand-rue 100, 1180 rolle, switzerland"
"412",6.3365884,46.4564791,"grand-rue 102, 1180 rolle, switzerland"
"413",NA,NA,NA
"414",6.3365248,46.4563408,"grand-rue 106, 1180 rolle, switzerland"
"415",6.3363331,46.456168,"grand-rue 108, 1180 rolle, switzerland"
"416",6.3394759,46.4586791,"grand-rue 11, 1180 rolle, switzerland"
"417",6.340939,46.4602818,"grand-rue 12, 1180 rolle, switzerland"
"418",6.3394338,46.4585598,"grand-rue 13, 1180 rolle, switzerland"
"419",6.340501,46.459906,"grand-rue 14, 1180 rolle, switzerland"
"420",6.339366,46.4584947,"grand-rue 15, 1180 rolle, switzerland"
"421",6.3403054,46.4597176,"grand-rue 16, 1180 rolle, switzerland"
"422",6.3402705,46.4596645,"grand-rue 16b, 1180 rolle, switzerland"
"423",6.339339,46.4584667,"grand-rue 17, 1180 rolle, switzerland"
"424",NA,NA,NA
"425",NA,NA,NA
"426",6.3416135,46.4608289,"grand-rue 2, 1180 rolle, switzerland"
"427",6.3400913,46.459603,"grand-rue 20, 1180 rolle, switzerland"
"428",6.339182,46.4582488,"grand-rue 21, 1180 rolle, switzerland"
"429",6.3400919,46.4595558,"grand-rue 22, 1180 rolle, switzerland"
"430",6.339013,46.4581732,"grand-rue 23, 1180 rolle, switzerland"
"431",6.3399183,46.4594712,"grand-rue 24, 1180 rolle, switzerland"
"432",6.3389186,46.4582217,"grand-rue 25, 1180 rolle, switzerland"
"433",6.3399811,46.4593991,"grand-rue 26, 1180 rolle, switzerland"
"434",NA,NA,NA
"435",NA,NA,NA
"436",NA,NA,NA
"437",6.3398719,46.4589647,"grand-rue 3, 1180 rolle, switzerland"
"438",6.3398847,46.4593106,"grand-rue 30, 1180 rolle, switzerland"
"439",NA,NA,NA
"440",6.3397224,46.4592575,"grand-rue 32, 1180 rolle, switzerland"
"441",6.3384629,46.4577001,"grand-rue 33, 1180 rolle, switzerland"
"442",NA,NA,NA
"443",NA,NA,NA
"444",NA,NA,NA
"445",NA,NA,NA
"446",NA,NA,NA
