"","EGID","GAREA","GASTW","GBAUJ","ebf","GKLAS_text","GHEIZ_text","GENHZ_text","GENWW_text","GKAT_text","GWWV","sia","siaNr","nutzung","typ","denkmalschutz","zonenAffecation","uVal_ground","uVal_roof","uVal_wall","uVal_window","uVal_ground_saniert","uVal_roof_saniert","uVal_wall_saniert","uVal_window_saniert","gVal","gVal_saniert","fensterFl","fensterFl_breite","fensterFl_laenge","fensterFl_proz","longitude","latitude","longitude_mt","latitude_mt","breite","laenge","ausricht","enerBed_awel","enerBed_ss","enerBed_vd","enerVer_re","nutzungsgrad","kbob_PEne","kbob_PEer","kbob_GHG","bestand_Geraete","bestand_Beleuchtung","bestand_Lueftung","bestand_Klimakaelte","bestand_Heizwaerme","bestand_Warmwasser","GBAUP"
"1037","829003",177.733449976181,"3","1977",533.200349928543,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de très faible densité",0.87,0.57,0.71,2.29,0.25,0.25,0.25,1,0.8,0.55,172.801913568287,65.8295051076053,106.972408460681,0.35,6.34456034,46.4673705,515964.36989061,146814.40387079,10.4582493831178,16.9945698811778,66.3739248392096,91177.2598377808,74623.2096364154,80916.70588235,10791,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"1971-1980"
"1038","829696",110.875149986218,"3","1935",332.625449958653,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,79.9970028878955,34.0423397195117,45.9546631683838,0.2,6.34613433,46.46330581,516078.95681082,146360.90851921,9.06279209628733,12.234104987539,85.5036082553792,59207.3300926402,46762.0026101687,54847.0588235294,6182.5,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"1920-1945"
"1039","829075",233.416750008216,"4","1979",933.667000032866,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.87,0.57,0.71,2.29,0.25,0.25,0.25,1,0.8,0.55,275.998073928185,108.973724529282,167.024349398904,0.35,6.3481262,46.46389412,516232.86381851,146424.17011265,12.3406209200049,18.9145061274699,84.2280919420141,159657.05700562,128353.943660946,141225.41176471,18725,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"1971-1980"
"1040","829072",530.516204960651,"4","1984",2122.06481984261,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Gas","Sonnenkollektor","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.67,0.38,0.44,2.05,0.25,0.25,0.25,1,0.62,0.55,448.923232461133,129.549105022042,319.374127439091,0.35,6.34984695,46.46330265,516364.11893744,146356.58675254,14.6695458943709,36.1644599485676,11.55667477197,254647.778381113,267347.061336842,293561.78823529,46891.5,0.65,0.194,1.41,0.115,14,5,0,1,93,16,"1981-1985"
"1041","400000927",196.501264988591,"4","2008",786.005059954364,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Gas","Gas","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.3,0.2,0.2,1.3,NA,NA,NA,NA,0.48,NA,340.83549731625,161.798679107818,179.036818208431,0.5,6.32886955,46.45469254,514739.28610709,145422.1510532,13.3259747369979,14.7457329663871,58.7444033958519,55020.3541968055,67012.1584972441,129788.235294118,41666,0.65,1.06,0.004,0.228,14,5,0,1,93,16,"2006-2010"
"1042","828852",152.230174962286,"2","1975",304.460349924573,"Gebäude mit 2 Wohnungen","Etagenheizung","Elektrizität","Elektrizität","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de très faible densité",0.87,0.57,0.71,2.29,0.25,0.25,0.25,1,0.8,0.55,117.974252865393,42.9404077402676,75.0338451251253,0.35,6.32921558,46.47409742,514796.41799906,147578.70571007,9.3337218381126,16.3096969893276,42.1465169657545,52062.7198371019,37910.4544265734,42102.3655914,7434,0.95,1.551,0.751,0.102,14,5,0,1,93,16,"1971-1980"
"1043","829836",421.404704523038,"8","1964",3371.2376361843,"Gebäude mit 3+ Whgen","Zentralheizung für Geb.","Gas","Gas","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de moyenne densité",1.02,0.75,0.85,2,0.25,0.25,0.25,1,0.8,0.55,701.132289522321,191.58278278044,509.549506741881,0.3,6.33159076,46.4591344,514955.3129838,145912.92324838,12.5873623896375,33.4783961467541,33.538195833548,576481.635787516,456894.365168931,203047.529411764,80638.5,0.65,1.06,0.004,0.228,14,5,0,1,93,16,"1961-1970"
"1044","828767",236.617800005057,"2","1820",473.235600010114,"Gebäude mit 2 Wohnungen","Zentralheizung für Geb.","Wärmepumpe","Sonnenkollektor","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone intermédiaire",0.83,0.71,1,2.22,0.25,0.25,0.25,1,0.92,0.55,90.1567163485147,31.8165833691247,58.34013297939,0.2,6.33301927,46.47634968,515092.0545546,147824.92348319,11.3596975681051,20.829586226786,69.2343752605119,66252.9840014159,67756.7682513419,69594.35294118,31995.5,2,0.194,1.41,0.115,14,5,0,1,93,16,"vor 1919"
"1045","829856",128.834899976788,"2","1964",257.669799953576,"Gebäude mit 2 Wohnungen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de très faible densité",1.02,0.75,0.85,2,0.25,0.25,0.25,1,0.8,0.55,84.2854725578367,31.8322530742111,52.4532194836256,0.3,6.33360324,46.4597744,515110.90672421,145981.87912739,8.84228231717588,14.5703219322154,34.8827099360352,44061.5357920615,40183.9907061511,37880.4705882353,8429.5,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"1961-1970"
"1046","280052336",206.961247972986,"4","2010",827.844991891944,"Gebäude mit 2 Wohnungen","Zentralheizung für Geb.","Heizöl","Heizöl","Mehrfamilienhaus (MFH)","1","mfh",1,"wohnen","mfh",NA,"Zone d'habitation de faible densité",0.3,0.2,0.2,1.3,NA,NA,NA,NA,0.48,NA,348.596809431755,150.245212786255,198.3515966455,0.5,6.33342819,46.47517901,515121.61947478,147694.35486944,12.5206532556988,16.5295886521565,87.8303541905248,41392.2495945972,91259.4479284508,49995.29411765,NA,0.8,1.23,0.009,0.301,14,5,0,1,93,16,"2006-2010"
